Time Started : 2024-07-31 09:03:17.8276

00:00:00.887 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSAntiCheat] [AntiCheatClient] Anti-cheat client not available. Verify that the game was started using the anti-cheat bootstrapper if you intend to use it.
00:00:01.829 - Paris.Engine.Graphics.Renderer.SetBackBuffer : INFO | Setting backbuffer 2560 by 1440, game scale = 5.333333
00:00:02.657 - Paris.Engine.Menu.Control.SelectionMenuControl.Init : WARN | Could not init animation data for anim set '' since it's not loaded yet.
00:00:02.657 - Paris.Engine.Menu.Control.SelectionMenuControl.Init : WARN | Could not init animation data for anim set '' since it's not loaded yet.
00:00:02.657 - Paris.Engine.Menu.Control.SelectionMenuControl.Init : WARN | Could not init animation data for anim set '' since it's not loaded yet.
00:00:02.661 - Paris.Engine.Menu.Control.SelectionMenuControl.Init : WARN | Could not init animation data for anim set '' since it's not loaded yet.
00:00:04.178 - NLog.LoggerImpl.CaptureCallSiteInfo : INFO | PRELOAD : json files preloaded.
00:00:04.178 - NLog.LoggerImpl.CaptureCallSiteInfo : INFO | PRELOAD : reflection cache preloaded.
00:00:04.178 - NLog.LoggerImpl.CaptureCallSiteInfo : INFO | PRELOAD : pool object all allocated.
00:00:04.580 - NLog.LoggerImpl.CaptureCallSiteInfo : INFO | Audio all preloaded.
00:00:04.900 - Paris.Engine.System.UGC.UGCManager.QueryCompleted : INFO | Query done! Found 0 of 0 items.
00:00:04.940 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Probing swap chain to determine device version
00:00:04.940 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Probe complete, determined: D3D11
00:00:04.940 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Window subclass attached to 00000000000606BC
00:00:04.940 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Creating overlay widget manager
00:00:05.003 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Overlay ready. Firing 2 OnReady handlers
00:00:05.407 - Paris.Engine.Context.ContextManager.LoadGlobalContent : INFO | PRELOAD : global assets loaded
